# Created by AnalysisTools v4.0  (https://github.com/KaGaSi/AnalysisTools)
# command: BOOP traj.vtf BC.agg boop2.txt
# (1) timestep, (2) size, (3) q_4, (4) q_6, (5) W_4, (6) W_6
    7   106 0.007676 0.011789 -0.025209 -0.006734
    7    88 0.015736 0.024123 0.062174 -0.090820
    7   106 0.010660 0.020494 0.010202 -0.114019
    7   104 0.013469 0.020019 0.010892 -0.008043
    7   106 0.012472 0.023211 0.018413 -0.000321
    7   106 0.017100 0.015883 0.064596 -0.085843
    7   104 0.008283 0.018880 0.052665 0.057347
    7    88 0.013202 0.018820 -0.037660 0.051753
    7   106 0.008381 0.020004 0.021020 0.061916
    7   104 0.010461 0.017529 -0.019029 -0.010372
    7   104 0.014488 0.016887 0.055027 0.093232
    7   102 0.008844 0.014890 -0.012726 0.030431
    7   106 0.008387 0.018918 0.090072 -0.069757
    7   106 0.011235 0.010284 0.049956 0.060180
    7   104 0.010921 0.019033 0.029816 -0.022164
    7   106 0.010430 0.018765 0.074650 -0.034204
    7    88 0.013202 0.018820 -0.037660 0.051753
    7   106 0.008381 0.020004 0.021020 0.061916
    7   104 0.010461 0.017529 -0.019029 -0.010372
    7   104 0.014488 0.016887 0.055027 0.093232
    7   102 0.008844 0.014890 -0.012726 0.030431
    7    88 0.013423 0.023695 -0.043387 0.064245
    7   106 0.011488 0.012688 0.013780 -0.017460
    7   104 0.011208 0.020533 -0.059286 -0.057316
    7   104 0.012807 0.023570 -0.052190 0.032695
    7   102 0.011674 0.023163 0.082780 -0.015631
    7    96 0.010050 0.024170 -0.071634 -0.024251
    7   106 0.009216 0.017260 -0.010840 0.034122
    7   106 0.006859 0.021821 -0.094030 0.023350
    7   104 0.009410 0.019722 0.016498 0.061482
    7   106 0.007796 0.016730 -0.051785 -0.021002
    7   112 0.012897 0.022636 0.054107 -0.071603
    7    88 0.010630 0.022548 -0.028671 -0.082674
    7   106 0.005168 0.018844 0.054005 -0.034849
    7   104 0.011243 0.016669 0.042054 -0.053056
    7   104 0.014652 0.019645 0.055091 -0.041906
    7   102 0.010825 0.014991 -0.047812 0.062860
    7    96 0.011193 0.021370 0.006188 0.013265
    7    88 0.006680 0.012384 -0.052559 0.038360
    7   106 0.018701 0.020450 0.060237 0.021534
    7   104 0.009884 0.020506 0.029625 -0.113824
    7   104 0.015484 0.021991 -0.053131 0.054925
    7   102 0.011638 0.016602 0.025282 0.074267
    7    96 0.015599 0.019026 0.019850 0.019705
    7    88 0.010728 0.024395 -0.017586 -0.077835
    7   106 0.005947 0.020792 0.056501 0.060763
    7   104 0.010068 0.015917 -0.036532 -0.018786
    7   104 0.006996 0.012298 -0.048329 -0.025170
    7   102 0.009764 0.024169 -0.061583 -0.044946
    7    96 0.014420 0.021524 0.005861 0.084586
